Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
American,US/Canada,High school,26,White,"Single, never married",Employed for wages,More than 3 years,Simulation,Every week,2. Almost everyday,Fishing
Filipino,Asia,Undergraduate school,26,Asian,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,decorating
Filipino,Asia,Undergraduate school,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
British,EU,Undergraduate school,26,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
American ,US/Canada,Undergraduate school,26,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation",Every week,3. Every week,Planting trees/flowers
Filipino,Asia,Undergraduate school,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation",Everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,26,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every month,2. Almost everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,26,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Strategy",Almost every week,1. Everyday,Interacting with others
usa,US/Canada,Undergraduate school,26,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy, Sports",Everyday,1. Everyday,Catching bugs
usa,US/Canada,Undergraduate school,26,White,"Single, never married",Employed for wages,1-2 years,"Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Planting trees/flowers
Vietnam,Asia,High school,27,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation, Strategy, FPS",Every week,2. Almost everyday,Terraforming
Viet Nam,Asia,Graduate school and higher,27,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure",Everyday,1. Everyday,Terraforming
Hong Kong,Asia,Undergraduate school,27,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Everyday,Once in a while. Dont play as much anymore.,Fishing
TAIWAN,Asia,Undergraduate school,27,Asian,"Single, never married",Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3. Every week,Planting trees/flowers
usa,US/Canada,Undergraduate school,27,Black or African American,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,2. Almost everyday,Planting trees/flowers
United States,US/Canada,High school,27,White,"Single, never married",Out of work and looking for work,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,3. Every week,Planting trees/flowers
usa,US/Canada,Undergraduate school,27,Black or African American,Widowed,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,2. Almost everyday,Fishing
us,US/Canada,Undergraduate school,27,White,Married or domestic partnership,Employed for wages,1-2 years,,Everyday,2. Almost everyday,Planting trees/flowers
U.S.,US/Canada,Undergraduate school,27,White,"Single, never married",Employed for wages,2-3 years,"Action, RPG",Every week,3. Every week,Fishing
USA,US/Canada,Undergraduate school,27,White,Married or domestic partnership,Self-employed,More than 3 years,"Adventure, Simulation, Strategy",Everyday,1. Everyday,Planting trees/flowers
America,US/Canada,Undergraduate school,27,White,"Single, never married",Out of work and looking for work,1-2 years,"Action, RPG",Almost everyday,3. Every week,Fishing
America,US/Canada,Undergraduate school,27,Black or African American,"Single, never married",Employed for wages,2-3 years,RPG,Every week,2. Almost everyday,Terraforming
America,US/Canada,High school,27,Native American or American Indian,"Single, never married",Out of work but not currently looking for work,,Simulation,Almost everyday,4. Almost every week,Fishing
US,US/Canada,Undergraduate school,27,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Strategy",Every week,3. Every week,Terraforming
usa,US/Canada,High school,27,Black or African American,Married or domestic partnership,Employed for wages,,,Almost everyday,2. Almost everyday,Terraforming
American,US/Canada,Undergraduate school,27,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG",Everyday,1. Everyday,Decorating
US,US/Canada,Graduate school and higher,27,Black or African American,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, Simulation, Strategy, Sports",Every week,3. Every week,Fishing
American,US/Canada,High school,27,Hispanic or Latino,"Single, never married",Military,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,27,Asian,"Single, never married",Self-employed,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Planting trees/flowers
Filipino,Asia,Undergraduate school,27,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy, Sports",Everyday,1. Everyday,Terraforming
British,EU,Secondary school,27,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG",Everyday,1. Everyday,Terraforming
Filipino,Asia,Undergraduate school,27,Asian,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,2. Almost everyday,Interacting with villagers
American,US/Canada,Undergraduate school,27,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,1. Everyday,Planting trees/flowers
United States,US/Canada,Undergraduate school,27,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Catching bugs
American ,US/Canada,High school,27,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG",Almost everyday,1. Everyday,Terraforming
American,US/Canada,Undergraduate school,27,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
Filipino,Asia,Graduate school and higher,27,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,2. Almost everyday,Fishing
Filipino,Asia,Undergraduate school,27,Asian,"Single, never married",Unable to work,More than 3 years,"Adventure, Simulation, Strategy",Everyday,1. Everyday,Terraforming
American (USA) ,US/Canada,Undergraduate school,27,White,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation, Strategy, Puzzle",Everyday,1. Everyday,Design/interacting with villagers
American,US/Canada,Graduate school and higher,27,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Dancing",Almost everyday,1. Everyday,Stalk market
Colombian,Other,High school,27,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, Strategy",Almost every week,2. Almost everyday,Building new DIYs recipes and designing my island 
American,US/Canada,Undergraduate school,27,White,Married or domestic partnership,Employed for wages,More than 3 years,Puzzle,Everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,27,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation, Sports",Everyday,1. Everyday,Terraforming
Filipino,Asia,Undergraduate school,27,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Interacting with friends
United States,US/Canada,Undergraduate school,27,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation",Almost everyday,2. Almost everyday,Drawing on the bulletin board and taking pictures.
Filipino,Asia,Graduate school and higher,27,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,Undergraduate school,27,Asian,"Single, never married",Employed for wages,2-3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,Undergraduate school,27,Asian,"Single, never married",Employed for wages,More than 3 years,RPG,Everyday,2. Almost everyday,Designing/repurposing areas of the island
Filipino-American,US/Canada,High school,27,Pacific Islander,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Action, Adventure, RPG",Almost everyday,2. Almost everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,27,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Fishing
usa,US/Canada,Undergraduate school,27,Hispanic or Latino,"Single, never married",Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
usa,US/Canada,Graduate school and higher,27,Black or African American,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
Viet nam,Asia,Graduate school and higher,28,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, Sports",Everyday,3. Every week,Fishing
Vietnamese,Asia,Undergraduate school,28,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation",Almost everyday,1. Everyday,Fishing
USA,US/Canada,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG",Every week,3. Every week,Fishing
usa,US/Canada,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3. Every week,Catching bugs
United States,US/Canada,Undergraduate school,28,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Planting trees/flowers
USA,US/Canada,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Simulation, Strategy",Everyday,1. Everyday,Catching bugs
America,US/Canada,Undergraduate school,28,White,"Single, never married",Employed for wages,2-3 years,"Adventure, RPG, Strategy",Almost every week,4. Almost every week,Fishing
USA,US/Canada,Undergraduate school,28,White,Married or domestic partnership,A homemaker,More than 3 years,"Adventure, Strategy",Everyday,1. Everyday,Catching bugs
America,US/Canada,Undergraduate school,28,White,"Single, never married",Employed for wages,1-2 years,"Adventure, Simulation",Almost everyday,2. Almost everyday,Terraforming
America,US/Canada,Graduate school and higher,28,White,Married or domestic partnership,A homemaker,2-3 years,"Adventure, RPG, Strategy",Every week,3. Every week,Planting trees/flowers
us,US/Canada,Undergraduate school,28,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Planting trees/flowers
United States,US/Canada,Graduate school and higher,28,Hispanic or Latino,"Single, never married",Self-employed,More than 3 years,"Action, RPG, Sports",Every week,3. Every week,Planting trees/flowers
US,US/Canada,Undergraduate school,28,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Fishing
US,US/Canada,Graduate school and higher,28,White,"Single, never married",Employed for wages,0-1 years,Sports,Every week,6. Less than every month,Fishing
USA,US/Canada,Graduate school and higher,28,Black or African American,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Sports",Almost everyday,3. Every week,Catching bugs
UK,EU,Graduate school and higher,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Filipino,Asia,Graduate school and higher,28,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,1. Everyday,Mostly trading and designing
Usa,US/Canada,High school,28,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Everything
Dutch,EU,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Gifting villagers 
British,EU,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Talking to villagers!
Canadian,US/Canada,Undergraduate school,28,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
United States,US/Canada,Graduate school and higher,28,White,Married or domestic partnership,Self-employed,2-3 years,"Adventure, Strategy",Every week,1. Everyday,Fishing
Scottish,EU,Undergraduate school,28,White,Married or domestic partnership,Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Decorating and buying clothes
United States,US/Canada,Undergraduate school,28,White,"Single, never married",Unable to work,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Fishing
Scottish,EU,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Catching bugs
Vietnamese,Asia,Graduate school and higher,28,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
British ,EU,Undergraduate school,28,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Talking to villagers
American ,US/Canada,High school,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday," creating little areas around my island like a pool area, market etc. "
Myanmar,Asia,Graduate school and higher,28,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, MOBA",Everyday,1. Everyday,Terraforming
North American,US/Canada,Undergraduate school,28,White,"Single, never married",Unable to work,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,"Interacting with Villagers, Dressing Up"
Filipino,Asia,Undergraduate school,28,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,28,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation, Strategy",Almost everyday,2. Almost everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,28,Asian,Married or domestic partnership,Self-employed,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,2. Almost everyday,Fishing
New Zealand European,Other,Graduate school and higher,28,White,Married or domestic partnership,Out of work but not currently looking for work,More than 3 years,RPG,Almost everyday,1. Everyday,Decorating my island (includes terraforming but that's only part of it!)
American,US/Canada,High school,28,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, MMORPG",Everyday,1. Everyday,Interacting with villagers
American,US/Canada,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Filipino,Asia,Undergraduate school,28,Asian,Married or domestic partnership,Employed for wages,0-1 years,"Adventure, RPG",,1. Everyday,Catching bugs
Scottish,EU,Graduate school and higher,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Design
Filipino,Asia,Undergraduate school,28,Asian,Married or domestic partnership,A homemaker,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,multiplayer 
usa,US/Canada,Graduate school and higher,28,Black or African American,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
uk,EU,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
usa,US/Canada,Undergraduate school,28,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Terraforming
usa,US/Canada,Graduate school and higher,29,Hispanic or Latino,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Fishing
United States,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation",Everyday,2. Almost everyday,Planting trees/flowers
usa,US/Canada,Graduate school and higher,29,White,"Single, never married",Employed for wages,,,Every week,3. Every week,Planting trees/flowers
us,US/Canada,Graduate school and higher,29,White,Married or domestic partnership,Employed for wages,1-2 years,Action,Everyday,2. Almost everyday,Fishing
us,US/Canada,Undergraduate school,29,Black or African American,Married or domestic partnership,Employed for wages,2-3 years,RPG,Almost every week,4. Almost every week,Fishing
United States,US/Canada,Undergraduate school,29,Black or African American,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Planting trees/flowers
America,US/Canada,Undergraduate school,29,Hispanic or Latino,Married or domestic partnership,A homemaker,1-2 years,"Action, RPG",Every week,3. Every week,Terraforming
America,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Employed for wages,1-2 years,"RPG, Strategy",Every week,4. Almost every week,Planting trees/flowers
USA,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Out of work but not currently looking for work,More than 3 years,"Simulation, Strategy",Everyday,1. Everyday,Planting trees/flowers
United States,US/Canada,Undergraduate school,29,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Catching bugs
USA,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Employed for wages,1-2 years,Simulation,Every week,5. Every month,Fishing
usa,US/Canada,Undergraduate school,29,Black or African American,Widowed,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,3. Every week,Fishing
usa,US/Canada,Graduate school and higher,29,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Terraforming
US,US/Canada,Graduate school and higher,29,White,Married or domestic partnership,Employed for wages,2-3 years,"RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Fishing
Canadian,US/Canada,Undergraduate school,29,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Trading with other players 
US,US/Canada,Graduate school and higher,29,White,Married or domestic partnership,Employed for wages,More than 3 years,Sports,Almost everyday,6. Less than every month,Fishing
Filipino,Asia,Graduate school and higher,29,Asian,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Designing the house
American,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
American (US),US/Canada,Undergraduate school,29,White,"Single, never married",Out of work and looking for work,More than 3 years,"Adventure, RPG",Every month,2. Almost everyday,Filling the museum
British,EU,Undergraduate school,29,White,"Single, never married",Employed for wages,More than 3 years,Simulation,Almost everyday,1. Everyday,Terraforming
British,EU,Undergraduate school,29,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Catching bugs
American,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Almost everyday,1. Everyday,Finishing my 'to do list' and going to the next day
Canadian,US/Canada,Undergraduate school,29,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
Myanmar,Asia,Graduate school and higher,29,Asian,"Single, never married",Employed for wages,More than 3 years,MOBA,Every week,1. Everyday,"trading, collection"
American (USA),US/Canada,Graduate school and higher,29,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Decorating my island
Singapore,Asia,Undergraduate school,29,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Befriending villagers
Filipino,Asia,Undergraduate school,29,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Everyday,1. Everyday,Catching bugs
US,US/Canada,Undergraduate school,29,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Terraforming
United States,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Catching bugs
Filipino,Asia,Undergraduate school,29,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG",Every week,1. Everyday,Terraforming
Filipino,Asia,Graduate school and higher,29,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG",Almost everyday,2. Almost everyday,Planting trees/flowers
Filipino,Asia,Graduate school and higher,29,Asian,"Single, never married",Unable to work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Visual Novel",Almost everyday,2. Almost everyday,Terraforming
Filipino,Asia,Graduate school and higher,29,Asian,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Terraforming
American,US/Canada,Undergraduate school,29,Other,Married or domestic partnership,Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Cataloging.making designs
usa,US/Canada,Graduate school and higher,29,Black or African American,Married or domestic partnership,Employed for wages,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Everyday,1. Everyday,Catching bugs
usa,US/Canada,Graduate school and higher,29,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
usa,US/Canada,Undergraduate school,29,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Every week,3. Every week,Catching bugs
Vietnamese,Asia,Graduate school and higher,30,Asian,"Single, never married",A student,More than 3 years,"Action, RPG, Simulation",Almost everyday,1. Everyday,Collecting DIYs and stuff
UK,EU,Graduate school and higher,30,Black or African American,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Catching bugs
usa,US/Canada,Undergraduate school,30,Black or African American,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Terraforming
USA,US/Canada,High school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG",Almost everyday,1. Everyday,Have no specific favorite 
 United States,US/Canada,Undergraduate school,30,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Every week,2. Almost everyday,Catching bugs
American,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, Puzzle",Everyday,1. Everyday,Fishing
USA,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
us,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,1-2 years,"RPG, Strategy, Sports",Almost everyday,3. Every week,Planting trees/flowers
Vietnam,Asia,Undergraduate school,30,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every week,5. Every month,Fishing
America,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,2-3 years,"Action, RPG, Simulation",Almost every week,4. Almost every week,Terraforming
USA,US/Canada,High school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, Simulation, Strategy",Everyday,1. Everyday,Planting trees/flowers
US,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Sports",Almost everyday,3. Every week,Planting trees/flowers
the United States,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Sports",Everyday,4. Almost every week,Fishing
USA,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,1-2 years,Adventure,Almost everyday,4. Almost every week,Planting trees/flowers
US,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
usa,US/Canada,High school,30,Hispanic or Latino,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2. Almost everyday,Planting trees/flowers
Korean/ American,US/Canada,High school,30,Pacific Islander,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Decorating and nature landscaping
US,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Every week,3. Every week,Catching bugs
US,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, RPG, Simulation, Strategy",Every week,3. Every week,Catching bugs
US,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,2-3 years,Adventure,Every week,6. Less than every month,Terraforming
Argentina,Other,Graduate school and higher,30,Hispanic or Latino,"Single, never married",Self-employed,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Candadian,US/Canada,High school,30,White,Married or domestic partnership,Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Fishing
Filipino American,US/Canada,Graduate school and higher,30,Pacific Islander,Married or domestic partnership,A homemaker,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,2. Almost everyday,Terraforming
Caucasian ,EU,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Terraforming
American ,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,1. Everyday,Designing my island with furniture 
American (USA),US/Canada,Graduate school and higher,30,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Graduate school and higher,30,White,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sex Dungeon Design",Almost everyday,More often than I exist in reality,Exploiting natural resources and frivolously spending taxpayer money
United States of America,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1. Everyday,Fishing
Filipino,Asia,Graduate school and higher,30,Asian,Married or domestic partnership,A student,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Looking for villagers
Filipino,Asia,Undergraduate school,30,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
USA ,US/Canada,Graduate school and higher,30,White,Married or domestic partnership,Employed for wages,0-1 years,"Adventure, Simulation, Strategy",Almost everyday,2. Almost everyday,Planting trees/flowers
Filipino,Asia,Undergraduate school,30,Asian,Married or domestic partnership,A homemaker,More than 3 years,"Adventure, RPG, Simulation, Strategy, Visual Novels",Everyday,1. Everyday,decorating
American,US/Canada,High school,30,White,Married or domestic partnership,A homemaker,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Terraforming
Filipino,Asia,Undergraduate school,30,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Filipino ,Asia,Undergraduate school,30,Asian,"Single, never married",A student,More than 3 years,"Action, RPG, Simulation, Fighting, 3D platformer",Almost everyday,2. Almost everyday,Fishing
filipino,Asia,Undergraduate school,30,Asian,"Single, never married",Self-employed,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,"collecting items, visiting friends"
