Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
Vietnam,Asia,Graduate school and higher,20,Asian,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Farming / Chill",Almost everyday,2. Almost everyday,Catching bugs
Viet nam,Asia,Graduate school and higher,20,Asian,"Single, never married",Out of work and looking for work,More than 3 years,RPG,Everyday,2. Almost everyday,Fishing
Portuguese-Canadian,US/Canada,High school,20,White,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Talking to my villagers. 
British,EU,High school,20,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Planting trees/flowers
USA,US/Canada,Undergraduate school,20,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Adventure, Strategy",Everyday,1. Everyday,Terraforming
USA,US/Canada,High school,20,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"RPG, Simulation, Strategy",Everyday,2. Almost everyday,Planting trees/flowers
United States,US/Canada,High school,20,Black or African American,"Single, never married",A student,1-2 years,"Action, Simulation",Almost everyday,3. Every week,Planting trees/flowers
us,US/Canada,Undergraduate school,20,Black or African American,"Single, never married",Employed for wages,1-2 years,Simulation,Every week,3. Every week,Fishing
Scottish,EU,High school,20,White,"Single, never married",Unable to work,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every week,2. Almost everyday,Catching bugs
American,US/Canada,Undergraduate school,20,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, Simulation, FPS",Almost everyday,2. Almost everyday,Catching bugs
American,US/Canada,High school,20,White,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Catching bugs
American,US/Canada,High school,20,White,"Single, never married",A student,More than 3 years,"RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Planting trees/flowers
American,US/Canada,Secondary school,20,Native American or American Indian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG",Everyday,1. Everyday,Decorating
American,US/Canada,High school,20,White,"Single, never married",Employed for wages,2-3 years,"Action, Adventure, Strategy",Almost everyday,1. Everyday,Terraforming
white,EU,High school,20,White,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation, Strategy",Almost everyday,2. Almost everyday,Terraforming
American,US/Canada,Undergraduate school,20,Hispanic or Latino,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Catching bugs
United States,US/Canada,High school,20,White,"Single, never married",A student,More than 3 years,RPG,Almost everyday,2. Almost everyday,Fishing
United States,US/Canada,Undergraduate school,20,Asian,"Single, never married",A student,0-1 years,Simulation,Almost everyday,1. Everyday,Decorating with furniture
Mixed,Other,High school,20,Hispanic or Latino,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG",Every week,2. Almost everyday,Planting trees/flowers
American ,US/Canada,Undergraduate school,20,Hispanic or Latino,"Single, never married",Employed for wages,More than 3 years,"Adventure, Simulation",Almost everyday,1. Everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,20,White,"Single, never married",A student,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Fishing
"British / Filipino, I am a dual citizen ",EU,Undergraduate school,20,Other,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, FPS, TPS",Almost everyday,2. Almost everyday,Terraforming
Filipino,Asia,High school,20,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,1. Everyday,Talking to my villagers and checking what they are doing. 
Filipino,Asia,High school,20,Asian,"Single, never married",A student,More than 3 years,"Action, RPG, Simulation",Everyday,1. Everyday,Fishing
Filipino,Asia,High school,20,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Vietnamese-American,US/Canada,Undergraduate school,20,Asian,Married or domestic partnership,A student,1-2 years,"RPG, Simulation, Platform",Almost everyday,1. Everyday,Terraforming
Vietnam,Asia,Undergraduate school,20,Asian,"Single, never married",Employed for wages,0-1 years,Strategy,Less than every month,6. Less than every month,Planting trees/flowers
Filipino,Asia,Graduate school and higher,20,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,2. Almost everyday,Decorating my island
Canadian,US/Canada,High school,20,White,"Single, never married",A student,More than 3 years,"Adventure, Simulation, Story-driven",Almost everyday,1. Everyday,Planting trees/flowers
Vietnam,Asia,Graduate school and higher,21,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Terraforming
Vietnamese,Asia,High school,21,Asian,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Catching bugs
American,US/Canada,High school,21,Asian,"Single, never married",A student,More than 3 years,"Adventure, Simulation, Visual Novels",Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,High school,21,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,2. Almost everyday,"Going to new islands, decorating "
Filipino,Asia,High school,21,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, Simulation, Puzzle ",Almost everyday,1. Everyday,Interacting with villagers
United States,US/Canada,High school,21,Black or African American,"Single, never married",Out of work and looking for work,1-2 years,Action,Every week,3. Every week,Catching bugs
America,US/Canada,Undergraduate school,21,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Every week,3. Every week,Fishing
USA,US/Canada,Undergraduate school,21,White,"Single, never married",Out of work and looking for work,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,21,Black or African American,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
British,EU,Undergraduate school,21,Asian,"Single, never married",A student,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Planting trees/flowers
White British,EU,Undergraduate school,21,White,"Single, never married",Unable to work,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,2. Almost everyday,Home decor
"Welsh, British",EU,Graduate school and higher,21,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,2. Almost everyday,Designing
White English ,EU,High school,21,White,"Single, never married",Employed for wages,More than 3 years,Adventure,Almost everyday,1. Everyday,Terraforming
British - White ,EU,Graduate school and higher,21,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Whatever looks fun",Almost everyday,1. Everyday,Planting trees/flowers
British,EU,Undergraduate school,21,White,"Single, never married",A student,More than 3 years,"Action, Adventure, Strategy",Everyday,1. Everyday,Terraforming
South Korean,Asia,Undergraduate school,21,Asian,Separated,A student,0-1 years,"Action, Adventure, RPG, Simulation, Strategy",Almost every week,2. Almost everyday,Planting trees/flowers
